Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EnvironmentSatisfaction,Gender,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Experience_Band,Leadership_Flag,Income_Band,Promoted_Recently
41,Yes,Travel_Rarely,1102,Sales,2,Life Sciences,2,Female,1,94,3,2,Sales Executive,4,Single,5993,19479,Yes,11,3,1,0,8,0,1,6,4,0,5,6-10 years,No,Medium,No
49,No,Travel_Frequently,279,Research & Development,1,Life Sciences,3,Male,2,61,2,2,Research Scientist,2,Married,5130,24907,No,23,4,4,1,10,3,3,10,7,1,7,6-10 years,No,Medium,Yes
37,Yes,Travel_Rarely,1373,Research & Development,2,Other,4,Male,4,92,2,1,Laboratory Technician,3,Single,2090,2396,Yes,15,3,2,0,7,3,3,0,0,0,0,6-10 years,No,Low,No
33,No,Travel_Frequently,1392,Research & Development,4,Life Sciences,4,Female,5,56,3,1,Research Scientist,3,Married,2909,23159,Yes,11,3,3,0,8,3,3,8,7,3,0,6-10 years,No,Low,Yes
27,No,Travel_Rarely,591,Research & Development,1,Medical,1,Male,7,40,3,1,Laboratory Technician,2,Married,3468,16632,No,12,3,4,1,6,3,3,2,2,2,2,6-10 years,No,Medium,Yes
32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,4,Male,8,79,3,1,Laboratory Technician,4,Single,3068,11864,No,13,3,3,0,8,2,2,7,7,3,6,6-10 years,No,Medium,Yes
59,No,Travel_Rarely,1324,Research & Development,3,Medical,3,Female,10,81,4,1,Laboratory Technician,1,Married,2670,9964,Yes,20,4,1,3,12,3,2,1,0,0,0,10+ years,No,Low,No
30,No,Travel_Rarely,1358,Research & Development,1,Life Sciences,4,Male,11,67,3,1,Laboratory Technician,3,Divorced,2693,13335,No,22,4,2,1,1,2,3,1,0,0,0,0-2 years,No,Low,No
38,No,Travel_Frequently,216,Research & Development,3,Life Sciences,4,Male,12,44,2,3,Manufacturing Director,3,Single,9526,8787,No,21,4,2,0,10,2,3,9,7,1,8,6-10 years,No,High,Yes
36,No,Travel_Rarely,1299,Research & Development,3,Medical,3,Male,13,94,3,2,Healthcare Representative,3,Married,5237,16577,No,13,3,2,2,17,3,2,7,7,7,7,10+ years,No,Medium,Yes
35,No,Travel_Rarely,809,Research & Development,3,Medical,1,Male,14,84,4,1,Laboratory Technician,2,Married,2426,16479,No,13,3,3,1,6,5,3,5,4,0,3,6-10 years,No,Low,No
29,No,Travel_Rarely,153,Research & Development,2,Life Sciences,4,Female,15,49,2,2,Laboratory Technician,3,Single,4193,12682,Yes,12,3,4,0,10,3,3,9,5,0,8,6-10 years,No,Medium,No
31,No,Travel_Rarely,670,Research & Development,1,Life Sciences,1,Male,16,31,3,1,Research Scientist,3,Divorced,2911,15170,No,17,3,4,1,5,1,2,5,2,4,3,3-5 years,No,Low,Yes
34,No,Travel_Rarely,1346,Research & Development,2,Medical,2,Male,18,93,3,1,Laboratory Technician,4,Divorced,2661,8758,No,11,3,3,1,3,2,3,2,2,1,2,3-5 years,No,Low,Yes
28,Yes,Travel_Rarely,103,Research & Development,3,Life Sciences,3,Male,19,50,2,1,Laboratory Technician,3,Single,2028,12947,Yes,14,3,2,0,6,4,3,4,2,0,3,6-10 years,No,Low,No
29,No,Travel_Rarely,1389,Research & Development,4,Life Sciences,2,Female,20,51,4,3,Manufacturing Director,1,Divorced,9980,10195,No,11,3,3,1,10,1,3,10,9,8,8,6-10 years,No,High,Yes
32,No,Travel_Rarely,334,Research & Development,2,Life Sciences,1,Male,21,80,4,1,Research Scientist,2,Divorced,3298,15053,Yes,12,3,4,2,7,5,2,6,2,0,5,6-10 years,No,Medium,No
